payload,users,errorPercentage,throughput
500,100,"","2.55"
500,200,"7.22","3.78"
500,1000,"",25
1024,100,"3.68","0.21"
1024,200,"","172.84"
1024,500,"","12.54"
1024,1000,"",25
5120,100,"","2.55"
5120,200,"","5.05"
5120,500,"","12.54"
5120,1000,"","25.01"
10240,100,"","2.55"
10240,200,"","5.05"
10240,500,"","12.54"
10240,1000,"","18.91"
102400,100,"5.88","0.56"
102400,200,"4.3","1.03"
102400,500,"1.05","2.78"
102400,1000,"0.27","9.84"
512000,100,"34.44","0.37"
512000,200,"10.56","0.8"
512000,500,100,"0.7"
