payload,users,errorPercentage,throughput
500,100,"","2.55"
500,200,"","5.05"
500,500,"","12.54"
500,1000,"",25
1024,100,"","2.55"
1024,200,"","5.05"
1024,500,"","12.54"
1024,1000,"","25.01"
5120,100,"","2.55"
5120,200,"","5.05"
5120,500,"","12.54"
5120,1000,"",25
10240,100,"","2.55"
10240,200,"","5.05"
10240,500,"","12.54"
10240,1000,"",25
102400,100,"","2.55"
102400,200,"","5.05"
102400,500,"","12.54"
102400,1000,"","25.01"
512000,100,"","2.55"
512000,200,"","5.05"
512000,500,"","12.54"
512000,1000,"",25
